"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"TATAMTRDVR","EQ","18-Mar-2020","         39.10","         41.00","         41.35","         36.60","         37.20","         37.25","         38.86","    3658777","           142163063.45","      16862","    1481193","         40.48"
"TATAMTRDVR","EQ","19-Mar-2020","         37.25","         35.90","         35.90","         32.15","         32.30","         32.55","         34.03","    7826440","           266304022.95","      31388","    3883410","         49.62"
"TATAMTRDVR","EQ","20-Mar-2020","         32.55","         32.90","         34.20","         32.00","         32.70","         32.50","         33.16","    6953408","           230555367.65","      18883","    4107821","         59.08"
"TATAMTRDVR","EQ","23-Mar-2020","         32.50","         29.25","         30.60","         29.25","         29.65","         29.60","         29.47","    3917284","           115432903.60","      16658","    2827840","         72.19"
"TATAMTRDVR","EQ","24-Mar-2020","         29.60","         30.40","         32.50","         28.40","         31.60","         30.35","         30.06","    6696969","           201317010.75","      20502","    4900573","         73.18"
"TATAMTRDVR","EQ","25-Mar-2020","         30.35","         30.50","         30.90","         29.20","         29.80","         30.00","         30.01","    2822599","            84695836.35","      10203","    1325992","         46.98"
"TATAMTRDVR","EQ","26-Mar-2020","         30.00","         30.30","         32.45","         29.30","         30.25","         30.00","         30.60","    3976848","           121672260.95","      16225","    1549490","         38.96"
"TATAMTRDVR","EQ","27-Mar-2020","         30.00","         31.00","         32.25","         30.10","         30.40","         30.55","         30.96","    3170729","            98160184.95","      10653","    1308602","         41.27"
"TATAMTRDVR","EQ","30-Mar-2020","         30.55","         30.00","         30.95","         29.05","         30.25","         30.05","         30.24","    1984634","            60017860.95","       6694","     648162","         32.66"
"TATAMTRDVR","EQ","31-Mar-2020","         30.05","         30.90","         31.30","         30.00","         30.95","         30.95","         30.72","    2214573","            68026823.40","       7593","     744622","         33.62"
"TATAMTRDVR","EQ","01-Apr-2020","         30.95","         30.80","         31.30","         29.30","         30.15","         29.95","         30.26","    2420758","            73242392.25","       8055","     844741","         34.90"
"TATAMTRDVR","EQ","03-Apr-2020","         29.95","         29.00","         30.00","         28.80","         29.60","         29.55","         29.41","    1732848","            50963721.65","       6556","     797688","         46.03"
"TATAMTRDVR","EQ","07-Apr-2020","         29.55","         30.70","         31.45","         30.00","         30.25","         30.30","         30.30","    4232255","           128221578.40","      17505","    2048302","         48.40"
"TATAMTRDVR","EQ","08-Apr-2020","         30.30","         30.25","         31.70","         29.85","         30.30","         30.25","         30.83","    4398807","           135617944.05","      15183","    1554524","         35.34"
"TATAMTRDVR","EQ","09-Apr-2020","         30.25","         31.05","         34.90","         31.00","         34.55","         34.25","         33.59","    9794575","           329041124.60","      27722","    3334426","         34.04"
"TATAMTRDVR","EQ","13-Apr-2020","         34.25","         35.00","         37.40","         33.35","         36.50","         36.55","         35.68","    7803593","           278420664.00","      20428","    2413403","         30.93"
"TATAMTRDVR","EQ","15-Apr-2020","         36.55","         37.00","         39.40","         36.00","         36.20","         36.35","         37.46","    6507627","           243758669.60","      19396","    1858923","         28.57"
"TATAMTRDVR","EQ","16-Apr-2020","         36.35","         35.25","         36.95","         34.85","         36.95","         36.55","         36.14","    2708078","            97877629.25","       9658","     683850","         25.25"
"TATAMTRDVR","EQ","17-Apr-2020","         36.55","         38.10","         38.55","         35.85","         36.10","         36.10","         36.62","    5985022","           219194374.60","      22695","    2848099","         47.59"
"TATAMTRDVR","EQ","20-Apr-2020","         36.10","         36.20","         37.80","         35.30","         36.55","         36.65","         36.91","    9066462","           334666292.90","      27126","    3915717","         43.19"
"TATAMTRDVR","EQ","21-Apr-2020","         36.65","         35.30","         35.50","         34.00","         34.05","         34.40","         34.61","    2432111","            84178875.40","       9925","     883504","         36.33"
"TATAMTRDVR","EQ","22-Apr-2020","         34.40","         34.00","         35.45","         33.25","         34.90","         34.70","         34.23","    2563830","            87762063.85","       8780","     770516","         30.05"
"TATAMTRDVR","EQ","23-Apr-2020","         34.70","         35.00","         36.00","         34.65","         34.70","         34.75","         35.17","    2326395","            81819745.90","      10365","     925213","         39.77"
"TATAMTRDVR","EQ","24-Apr-2020","         34.75","         34.30","         34.95","         33.50","         33.60","         33.70","         34.15","    1721984","            58806961.20","       6666","     514648","         29.89"
