"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"HDFCBANK","EQ","19-Jun-2019","       2417.25","       2427.00","       2444.90","       2416.70","       2435.45","       2428.35","       2431.33","    2686069","          6530717720.65","     118428","    1681891","         62.62"
"HDFCBANK","EQ","20-Jun-2019","       2428.35","       2428.35","       2437.00","       2414.60","       2425.70","       2426.35","       2428.38","    2792873","          6782150949.40","     129225","    1928319","         69.04"
"HDFCBANK","EQ","21-Jun-2019","       2426.35","       2426.00","       2429.70","       2405.65","       2418.75","       2414.20","       2416.28","    3312565","          8004083637.95","     114329","    2607579","         78.72"
"HDFCBANK","EQ","24-Jun-2019","       2414.20","       2411.95","       2430.60","       2410.00","       2421.00","       2417.95","       2422.38","    1728750","          4187693147.25","      84459","    1149223","         66.48"
"HDFCBANK","EQ","25-Jun-2019","       2417.95","       2419.85","       2441.50","       2403.00","       2422.00","       2428.70","       2420.42","    2224950","          5385306441.10","     125353","    1381867","         62.11"
"HDFCBANK","EQ","26-Jun-2019","       2428.70","       2424.70","       2470.00","       2422.00","       2465.00","       2467.90","       2448.85","    2633409","          6448834567.60","     111348","    1725780","         65.53"
"HDFCBANK","EQ","27-Jun-2019","       2467.90","       2468.75","       2494.50","       2456.15","       2460.60","       2462.30","       2472.34","    4969809","         12287048186.85","     157798","    2787079","         56.08"
"HDFCBANK","EQ","28-Jun-2019","       2462.30","       2464.00","       2475.00","       2437.05","       2441.00","       2443.75","       2451.45","    3189211","          7818189487.60","     113150","    2204518","         69.12"
"HDFCBANK","EQ","01-Jul-2019","       2443.75","       2456.00","       2489.00","       2450.05","       2486.00","       2485.55","       2476.08","    2131040","          5276621766.50","     110592","    1257676","         59.02"
"HDFCBANK","EQ","02-Jul-2019","       2485.55","       2488.00","       2497.50","       2467.20","       2491.15","       2495.00","       2484.49","    1811707","          4501164669.35","      89307","     871145","         48.08"
"HDFCBANK","EQ","03-Jul-2019","       2495.00","       2499.00","       2503.30","       2483.00","       2488.30","       2489.65","       2496.50","    1865814","          4658013683.80","      74725","     995571","         53.36"
"HDFCBANK","EQ","04-Jul-2019","       2489.65","       2494.80","       2497.90","       2472.00","       2482.85","       2483.80","       2484.12","    1998491","          4964492340.75","      81894","     988000","         49.44"
"HDFCBANK","EQ","05-Jul-2019","       2483.80","       2485.10","       2494.95","       2460.00","       2469.00","       2472.40","       2478.09","    1895765","          4697867401.70","      72714","     995517","         52.51"
"HDFCBANK","EQ","08-Jul-2019","       2472.40","       2474.55","       2474.60","       2397.05","       2412.70","       2409.60","       2424.02","    3651785","          8852011714.30","     148208","    2375576","         65.05"
"HDFCBANK","EQ","09-Jul-2019","       2409.60","       2403.85","       2410.80","       2373.00","       2377.65","       2379.15","       2386.59","    4120672","          9834335423.85","     184776","    2722625","         66.07"
"HDFCBANK","EQ","10-Jul-2019","       2379.15","       2378.75","       2398.00","       2366.25","       2391.20","       2388.75","       2385.87","    2892287","          6900612679.50","     166981","    1816180","         62.79"
"HDFCBANK","EQ","11-Jul-2019","       2388.75","       2403.00","       2414.00","       2395.65","       2403.75","       2407.15","       2406.53","    2274399","          5473418839.50","     135487","    1355852","         59.61"
