"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"ICICIBANK","EQ","09-Oct-2019","        416.10","        420.25","        438.40","        417.10","        436.50","        436.70","        428.51","   34533981","         14798267533.70","     204220","   14852469","         43.01"
"ICICIBANK","EQ","10-Oct-2019","        436.70","        430.00","        431.50","        420.50","        424.50","        423.70","        424.80","   19074005","          8102611371.10","     164265","    7680646","         40.27"
"ICICIBANK","EQ","11-Oct-2019","        423.70","        427.95","        433.25","        422.10","        427.90","        428.55","        428.28","   18004922","          7711124795.75","     172683","    4231714","         23.50"
"ICICIBANK","EQ","14-Oct-2019","        428.55","        430.00","        436.40","        426.00","        427.60","        428.85","        431.06","   17211042","          7419058636.85","     143230","    6892214","         40.05"
"ICICIBANK","EQ","15-Oct-2019","        428.85","        430.00","        435.45","        428.20","        432.20","        431.85","        431.73","   14971985","          6463881606.95","     134995","    6091322","         40.68"
"ICICIBANK","EQ","16-Oct-2019","        431.85","        434.50","        439.50","        431.15","        435.80","        435.30","        435.67","   17833051","          7769251555.70","     161578","    7258697","         40.70"
"ICICIBANK","EQ","17-Oct-2019","        435.30","        436.00","        443.35","        433.70","        440.75","        440.60","        438.80","   12452421","          5464134193.00","     133501","    3907584","         31.38"
"ICICIBANK","EQ","18-Oct-2019","        440.60","        437.70","        443.70","        435.25","        437.10","        437.80","        438.89","   15988455","          7017206607.20","     123664","    6675835","         41.75"
"ICICIBANK","EQ","22-Oct-2019","        437.80","        440.50","        458.70","        437.55","        451.75","        451.15","        451.14","   34966169","         15774471226.10","     290446","   13093450","         37.45"
"ICICIBANK","EQ","23-Oct-2019","        451.15","        452.00","        459.00","        448.20","        456.35","        455.10","        455.16","   25196183","         11468295250.55","     340998","   11332291","         44.98"
"ICICIBANK","EQ","24-Oct-2019","        455.10","        457.40","        459.00","        451.00","        455.50","        454.75","        454.66","   23542540","         10703831743.30","     261128","   12429939","         52.80"
"ICICIBANK","EQ","25-Oct-2019","        454.75","        457.70","        470.65","        454.40","        469.20","        469.10","        463.16","   34397573","         15931420717.20","     253652","   15782658","         45.88"
"ICICIBANK","EQ","27-Oct-2019","        469.10","        471.00","        473.50","        465.00","        467.80","        469.55","        469.07","    8207818","          3850009414.10","      70202","    1819147","         22.16"
"ICICIBANK","EQ","29-Oct-2019","        469.55","        470.20","        482.00","        466.85","        476.00","        477.40","        475.14","   33686172","         16005584352.00","     303796","   16701932","         49.58"
"ICICIBANK","EQ","30-Oct-2019","        477.40","        479.00","        479.00","        470.00","        470.65","        471.15","        472.46","   22396012","         10581202220.65","     263757","   12394312","         55.34"
"ICICIBANK","EQ","31-Oct-2019","        471.15","        475.00","        476.75","        461.30","        463.95","        463.05","        469.53","   21198377","          9953360561.35","     238072","    9326921","         44.00"
"ICICIBANK","EQ","01-Nov-2019","        463.05","        466.65","        466.95","        460.50","        462.90","        462.25","        463.86","   13522994","          6272808818.10","     117030","    5349819","         39.56"
"ICICIBANK","EQ","04-Nov-2019","        462.25","        463.00","        472.30","        463.00","        471.00","        470.50","        469.22","   16254715","          7627042745.75","     153946","    6586892","         40.52"
"ICICIBANK","EQ","05-Nov-2019","        470.50","        472.10","        474.00","        466.90","        468.25","        468.35","        469.45","   14952189","          7019324502.65","     180825","    6869713","         45.94"
"ICICIBANK","EQ","06-Nov-2019","        468.35","        467.15","        483.90","        464.75","        480.00","        480.70","        476.27","   24922680","         11870020810.65","     172963","    8688984","         34.86"
"ICICIBANK","EQ","07-Nov-2019","        480.70","        483.00","        483.00","        475.65","        479.60","        478.55","        478.37","   18312032","          8759957484.05","     194335","    7243848","         39.56"
"ICICIBANK","EQ","08-Nov-2019","        478.55","        480.75","        496.00","        480.30","        490.00","        489.45","        489.55","   52207121","         25558194807.45","     371240","   27653242","         52.97"
"ICICIBANK","EQ","11-Nov-2019","        489.45","        488.00","        499.00","        484.60","        497.25","        496.80","        492.53","   24766065","         12197944597.85","     223652","   13055922","         52.72"
"ICICIBANK","EQ","13-Nov-2019","        496.80","        496.80","        497.50","        483.30","        487.00","        485.75","        491.56","   24272664","         11931577536.55","     227547","   14606392","         60.18"
"ICICIBANK","EQ","14-Nov-2019","        485.75","        489.75","        499.85","        483.75","        498.05","        498.65","        492.98","   35396276","         17449708738.00","     270076","   15449568","         43.65"
"ICICIBANK","EQ","15-Nov-2019","        498.65","        497.85","        509.70","        496.00","        498.85","        499.85","        503.80","   42074833","         21197467232.25","     276592","   20055878","         47.67"
"ICICIBANK","EQ","18-Nov-2019","        499.85","        498.75","        504.45","        496.65","        499.00","        498.35","        499.88","   22910109","         11452220256.20","     261393","   11964029","         52.22"
"ICICIBANK","EQ","19-Nov-2019","        498.35","        497.95","        502.00","        489.85","        494.30","        493.50","        496.24","   27939336","         13864492100.70","     258229","   15122061","         54.12"
"ICICIBANK","EQ","20-Nov-2019","        493.50","        495.20","        498.00","        492.50","        494.85","        495.00","        495.21","   22606112","         11194744009.15","     251166","   13932612","         61.63"
"ICICIBANK","EQ","21-Nov-2019","        495.00","        498.10","        503.80","        491.25","        499.00","        498.25","        498.95","   25745594","         12845846675.85","     208747","   13897302","         53.98"
"ICICIBANK","EQ","22-Nov-2019","        498.25","        501.10","        501.75","        492.15","        497.65","        496.80","        497.43","   18462401","          9183724341.85","     195716","   10452380","         56.61"
"ICICIBANK","EQ","25-Nov-2019","        496.80","        492.00","        500.00","        491.55","        498.45","        497.80","        496.19","   25692878","         12748604394.30","     200426","   14678060","         57.13"
"ICICIBANK","EQ","26-Nov-2019","        497.80","        501.80","        517.55","        501.00","        513.00","        510.70","        509.65","  286857658","        146195891796.85","     675515","  232530747","         81.06"
"ICICIBANK","EQ","27-Nov-2019","        510.70","        513.90","        515.85","        504.30","        506.75","        505.50","        507.71","   29866539","         15163592466.20","     223934","   12303926","         41.20"
"ICICIBANK","EQ","28-Nov-2019","        505.50","        509.55","        520.00","        508.00","        518.10","        519.15","        516.26","   35706498","         18434010957.45","     258541","   18166145","         50.88"
"ICICIBANK","EQ","29-Nov-2019","        519.15","        516.00","        516.50","        510.30","        512.50","        512.60","        512.91","   13324549","          6834329288.75","     156866","    7160610","         53.74"
"ICICIBANK","EQ","02-Dec-2019","        512.60","        513.45","        514.00","        507.25","        510.95","        510.90","        510.43","   10130049","          5170711728.45","     112295","    4711290","         46.51"
"ICICIBANK","EQ","03-Dec-2019","        510.90","        509.75","        511.25","        504.65","        510.75","        509.35","        507.72","   12795657","          6496632779.45","     137052","    6718664","         52.51"
"ICICIBANK","EQ","04-Dec-2019","        509.35","        510.00","        531.35","        509.30","        528.80","        529.25","        522.50","   30992538","         16193581500.85","     274793","   10171522","         32.82"
"ICICIBANK","EQ","05-Dec-2019","        529.25","        532.55","        537.50","        526.05","        527.45","        528.10","        531.71","   32354118","         17202849521.50","     248830","   10590736","         32.73"
"ICICIBANK","EQ","06-Dec-2019","        528.10","        530.05","        533.50","        521.65","        525.25","        524.80","        527.84","   24868376","         13126497459.60","     160717","   13091355","         52.64"
"ICICIBANK","EQ","09-Dec-2019","        524.80","        524.05","        529.30","        522.20","        526.85","        526.50","        526.92","   12980877","          6839909549.75","     133385","    6172726","         47.55"
"ICICIBANK","EQ","10-Dec-2019","        526.50","        526.05","        530.25","        524.70","        529.75","        528.70","        527.90","   12021443","          6346126632.05","     126317","    4723088","         39.29"
"ICICIBANK","EQ","11-Dec-2019","        528.70","        530.60","        535.20","        527.20","        533.65","        533.55","        532.37","   13768156","          7329724633.25","     138036","    5370612","         39.01"
"ICICIBANK","EQ","12-Dec-2019","        533.55","        534.85","        537.10","        529.80","        535.50","        535.35","        533.64","   12385216","          6609242990.40","     122835","    4916002","         39.69"
"ICICIBANK","EQ","13-Dec-2019","        535.35","        537.90","        542.80","        535.70","        537.10","        537.05","        538.50","   17884861","          9630966597.50","     149844","    8833067","         49.39"
"ICICIBANK","EQ","16-Dec-2019","        537.05","        539.50","        541.40","        536.70","        539.75","        539.25","        539.30","   13070575","          7048931964.30","     155494","    6884965","         52.68"
"ICICIBANK","EQ","17-Dec-2019","        539.25","        540.95","        543.00","        538.75","        541.95","        541.15","        540.72","   11516163","          6227061415.35","     122753","    6372980","         55.34"
