"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades"
"SUNPHARMA","EQ","08-Jan-2020","        446.40","        442.95","        446.50","        439.00","        439.10","        440.10","        441.78","    3881918","          1714947318.10","      61787"
"SUNPHARMA","EQ","09-Jan-2020","        440.10","        442.70","        444.85","        439.00","        439.95","        439.85","        441.60","    3934566","          1737506321.00","      52598"
"SUNPHARMA","EQ","10-Jan-2020","        439.85","        440.10","        449.00","        440.00","        444.75","        443.60","        445.53","    4334013","          1930932329.85","      50131"
"SUNPHARMA","EQ","13-Jan-2020","        443.60","        447.00","        453.65","        442.55","        444.80","        444.60","        447.40","    4823348","          2157943768.30","     105783"
"SUNPHARMA","EQ","14-Jan-2020","        444.60","        447.00","        449.50","        444.40","        446.60","        446.00","        446.99","    2708589","          1210709086.55","      38098"
"SUNPHARMA","EQ","15-Jan-2020","        446.00","        447.60","        450.70","        443.65","        448.50","        449.05","        447.29","    3054107","          1366076894.60","      47457"
"SUNPHARMA","EQ","16-Jan-2020","        449.05","        452.25","        456.35","        447.40","        448.20","        449.05","        451.34","    4416809","          1993469804.95","      62319"
"SUNPHARMA","EQ","17-Jan-2020","        449.05","        448.20","        456.25","        446.00","        454.75","        454.60","        451.53","    3216737","          1452466883.80","      49212"
"SUNPHARMA","EQ","20-Jan-2020","        454.60","        454.20","        456.20","        446.15","        449.30","        449.45","        450.14","    2824739","          1271534484.00","      37371"
"SUNPHARMA","EQ","21-Jan-2020","        449.45","        448.00","        451.75","        446.00","        448.00","        447.40","        448.84","    2573651","          1155168440.30","      64119"
"SUNPHARMA","EQ","22-Jan-2020","        447.40","        448.40","        453.85","        445.35","        447.00","        446.30","        449.22","    3412716","          1533074064.60","      52067"
"SUNPHARMA","EQ","23-Jan-2020","        446.30","        447.20","        452.20","        445.00","        450.00","        449.85","        449.65","    1875787","           843451684.35","      33288"
"SUNPHARMA","EQ","24-Jan-2020","        449.85","        450.00","        452.85","        446.80","        447.40","        447.80","        450.39","    2153164","           969753957.20","      51893"
"SUNPHARMA","EQ","27-Jan-2020","        447.80","        447.00","        451.75","        442.20","        448.75","        448.40","        447.56","    3530914","          1580291567.35","      68219"
"SUNPHARMA","EQ","28-Jan-2020","        448.40","        448.25","        462.50","        448.05","        452.90","        452.90","        457.01","    9487290","          4335776556.75","     123740"
"SUNPHARMA","EQ","29-Jan-2020","        452.90","        454.85","        456.75","        449.45","        450.45","        450.10","        452.84","    3103817","          1405526081.80","      52139"
"SUNPHARMA","EQ","30-Jan-2020","        450.10","        451.50","        453.75","        440.30","        441.95","        442.10","        443.15","    3486193","          1544919555.40","      53746"
"SUNPHARMA","EQ","31-Jan-2020","        442.10","        442.60","        445.40","        432.65","        435.50","        434.30","        437.61","    3757229","          1644208885.65","      61041"
"SUNPHARMA","EQ","01-Feb-2020","        434.30","        432.95","        437.40","        419.40","        422.80","        422.80","        429.26","    2217675","           951962060.70","      48894"
"SUNPHARMA","EQ","03-Feb-2020","        422.80","        423.80","        428.90","        414.00","        417.30","        417.55","        419.66","    4032780","          1692403581.50","      59911"
"SUNPHARMA","EQ","04-Feb-2020","        417.55","        416.95","        426.90","        412.85","        423.95","        425.65","        421.27","    4848610","          2042590027.55","      73352"
"SUNPHARMA","EQ","05-Feb-2020","        425.65","        429.50","        431.40","        421.90","        427.50","        426.25","        426.39","    3826307","          1631505571.55","      46001"
"SUNPHARMA","EQ","06-Feb-2020","        426.25","        428.20","        438.00","        424.00","        428.80","        430.65","        429.78","    7745520","          3328885303.10","      90969"
"SUNPHARMA","EQ","07-Feb-2020","        430.65","        432.00","        441.75","        423.20","        430.35","        430.80","        434.30","    7402556","          3214934498.40","      82235"
"SUNPHARMA","EQ","10-Feb-2020","        430.80","        428.55","        432.75","        418.30","        419.95","        420.30","        422.73","    3638523","          1538112618.95","      47171"
"SUNPHARMA","EQ","11-Feb-2020","        420.30","        422.00","        424.70","        416.80","        419.00","        418.55","        420.29","    4683072","          1968231430.35","      52542"
"SUNPHARMA","EQ","12-Feb-2020","        418.55","        418.80","        421.30","        414.00","        414.60","        414.60","        416.65","    4439987","          1849916057.00","      47834"
"SUNPHARMA","EQ","13-Feb-2020","        414.60","        414.60","        420.10","        412.00","        418.65","        418.95","        417.18","    3924569","          1637270091.60","      62025"
"SUNPHARMA","EQ","14-Feb-2020","        418.95","        420.00","        424.75","        416.50","        417.60","        418.55","        420.90","    2862205","          1204708467.60","      41695"
"SUNPHARMA","EQ","17-Feb-2020","        418.55","        416.20","        418.50","        407.30","        407.65","        408.40","        412.46","    2625157","          1082770599.50","      41610"
"SUNPHARMA","EQ","18-Feb-2020","        408.40","        407.00","        410.85","        399.05","        406.10","        408.65","        404.78","    4187206","          1694903794.80","      58541"
"SUNPHARMA","EQ","19-Feb-2020","        408.65","        410.40","        414.20","        400.60","        403.25","        403.55","        405.44","    5910512","          2396335656.05","      65492"
"SUNPHARMA","EQ","20-Feb-2020","        403.55","        403.85","        411.50","        403.55","        404.80","        404.95","        407.27","    4000525","          1629280061.15","      64180"
"SUNPHARMA","EQ","24-Feb-2020","        404.95","        406.50","        414.65","        395.80","        397.30","        397.85","        404.97","   12668574","          5130390125.25","     129845"
"SUNPHARMA","EQ","25-Feb-2020","        397.85","        402.40","        402.40","        385.30","        387.50","        388.90","        390.88","   10050971","          3928699969.20","     120820"
"SUNPHARMA","EQ","26-Feb-2020","        388.90","        385.10","        386.95","        372.50","        374.00","        374.70","        378.15","   12146582","          4593268601.90","     120753"
"SUNPHARMA","EQ","27-Feb-2020","        374.70","        375.00","        390.70","        369.45","        388.00","        388.50","        380.83","   15164166","          5774939180.45","     164638"
"SUNPHARMA","EQ","28-Feb-2020","        388.50","        379.65","        385.60","        371.10","        373.20","        372.90","        379.91","    8439591","          3206318902.60","      86209"
"SUNPHARMA","EQ","02-Mar-2020","        372.90","        378.00","        383.65","        363.35","        372.05","        369.50","        376.87","    6915567","          2606303340.80","      72067"
"SUNPHARMA","EQ","03-Mar-2020","        369.50","        374.00","        396.40","        373.25","        396.00","        393.55","        386.86","   14474553","          5599644850.65","     167409"
"SUNPHARMA","EQ","04-Mar-2020","        393.55","        398.00","        412.90","        387.35","        404.50","        405.45","        403.52","   26369149","         10640594992.05","     271057"
"SUNPHARMA","EQ","05-Mar-2020","        405.45","        409.95","        414.80","        401.75","        404.50","        404.90","        408.26","    9874059","          4031203675.50","     106590"
"SUNPHARMA","EQ","06-Mar-2020","        404.90","        390.05","        403.20","        390.05","        400.10","        400.90","        398.45","    6500912","          2590277927.25","      81949"
"SUNPHARMA","EQ","09-Mar-2020","        400.90","        396.05","        403.90","        385.55","        393.00","        393.35","        394.67","   13152861","          5191013676.80","     101814"
"SUNPHARMA","EQ","11-Mar-2020","        393.35","        394.40","        395.25","        380.05","        386.85","        385.95","        386.99","    9127364","          3532178058.15","     107037"
"SUNPHARMA","EQ","12-Mar-2020","        385.95","        365.50","        372.70","        346.40","        357.45","        354.80","        357.70","   11663067","          4171832530.20","     126274"
"SUNPHARMA","EQ","13-Mar-2020","        354.80","        341.00","        402.95","        325.00","        386.00","        384.20","        383.27","   15802656","          6056719413.00","     212119"
"SUNPHARMA","EQ","16-Mar-2020","        384.20","        376.00","        396.40","        362.80","        370.00","        368.55","        377.06","   14480706","          5460138953.40","     168078"
"SUNPHARMA","EQ","17-Mar-2020","        368.55","        376.00","        395.60","        364.20","        371.00","        370.15","        383.84","   12903647","          4952926425.90","     193522"
"SUNPHARMA","EQ","18-Mar-2020","        370.15","        383.40","        386.40","        355.10","        366.75","        362.75","        369.47","   12342705","          4560217675.35","     201026"
"SUNPHARMA","EQ","19-Mar-2020","        362.75","        351.70","        374.45","        347.65","        361.30","        360.40","        362.17","    8728105","          3161099064.30","     168016"
"SUNPHARMA","EQ","20-Mar-2020","        360.40","        365.20","        379.50","        362.20","        363.05","        365.25","        370.57","   10631944","          3939883268.30","     159028"
"SUNPHARMA","EQ","23-Mar-2020","        365.25","        345.00","        354.70","        315.05","        332.00","        324.50","        333.76","    8018903","          2676357691.35","     110889"
"SUNPHARMA","EQ","24-Mar-2020","        324.50","        330.00","        348.00","        330.00","        334.00","        335.15","        340.24","    6408587","          2180469462.65","     110071"
"SUNPHARMA","EQ","25-Mar-2020","        335.15","        332.00","        350.80","        329.55","        343.95","        347.65","        339.90","    6174391","          2098694157.50","     105868"
"SUNPHARMA","EQ","26-Mar-2020","        347.65","        365.00","        368.00","        336.10","        338.80","        338.30","        348.14","   11670467","          4062946057.80","     168355"
"SUNPHARMA","EQ","27-Mar-2020","        338.30","        347.00","        352.50","        333.00","        338.30","        338.25","        341.42","    7745785","          2644590217.25","     111490"
"SUNPHARMA","EQ","30-Mar-2020","        338.25","        321.65","        344.00","        312.00","        332.55","        332.70","        334.25","   11648309","          3893470175.15","     143583"
"SUNPHARMA","EQ","31-Mar-2020","        332.70","        340.10","        355.00","        328.25","        353.25","        352.30","        343.95","    9954246","          3423744741.40","     131072"
"SUNPHARMA","EQ","01-Apr-2020","        352.30","        353.00","        355.25","        338.40","        344.35","        343.55","        344.57","    6702259","          2309378542.30","      94680"
"SUNPHARMA","EQ","03-Apr-2020","        343.55","        343.95","        389.80","        340.00","        376.45","        375.95","        369.67","   28550650","         10554231364.55","     338973"
